adult,budget,genres,original_language,popularity,revenue,runtime,vote_average,vote_count,release_strategy,director_popularity,lead_actor_popularity,avg_top5_cast_popularity,imdb_rating,imdb_votes,period,roi,collection_flag,production_companies_count_cat,origin_country_count_cat,production_countries_count_cat,spoken_languages_count_cat
0,140000000,"['Action', 'Adventure', 'Fantasy']",en,8.6844,150680864,127,5.69,4229,theatrical,2.1212,3.3698,4.32866,5.4,133795.0,Before COVID,0.07629188571428572,0,2,2,2,1
0,4000000,['Thriller'],en,2.99,9930095,108,6.1,588,theatrical,1.2519,6.9145,3.8329,6.3,25388.0,Before COVID,1.48252375,0,2,1,2,2
0,100000000,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",en,7.4245,93900000,122,6.8,4249,theatrical,,,,,,Before COVID,-0.061,0,2,1,2,1
0,245000000,"['Action', 'Adventure', 'Thriller']",en,6.1448,880707597,148,6.565,10925,theatrical,,,,,,Before COVID,2.5947248857142857,1,2,1,2,2
0,81000000,"['Crime', 'Comedy', 'Action', 'Adventure']",en,8.2494,414351546,129,7.6,17405,theatrical,,,,,,Before COVID,4.115451185185186,1,2,1,2,2
0,75000000,"['Mystery', 'Thriller', 'Action']",en,4.5459,220021259,121,6.1,6475,theatrical,5.3387,14.6165,5.28526,6.2,199380.0,Before COVID,1.9336167866666667,1,2,1,1,2
0,0,"['Romance', 'Comedy', 'Drama', 'Music']",en,4.2847,135026,105,6.2,181,theatrical,0.2007,3.794,3.08134,6.2,8628.0,Before COVID,,0,2,1,1,1
0,250000000,"['Action', 'Adventure', 'Fantasy']",en,10.4927,874362803,152,5.987,18605,theatrical,4.8393,19.3885,9.61212,6.4,783362.0,Before COVID,2.497451212,1,2,1,1,1
0,60000000,"['Comedy', 'Adventure']",en,2.8002,47318560,107,5.518,2708,theatrical,,,,,,Before COVID,-0.21135733333333334,0,2,1,1,1
0,74000000,"['Family', 'Animation', 'Adventure', 'Comedy']",en,3.8281,1159457503,91,6.4,10883,theatrical,,,,,,Before COVID,14.668344635135135,1,2,1,1,1
0,25000000,"['Action', 'Comedy', 'Crime']",en,9.3196,29200000,95,5.8,1806,theatrical,1.9354,5.2266,4.0097000000000005,5.8,64557.0,Before COVID,0.168,0,2,1,1,2
0,68000000,"['Comedy', 'Fantasy']",en,9.8397,215863606,115,6.316,7794,theatrical,,,,,,Before COVID,2.174464794117647,1,2,1,1,1
0,40000000,"['Drama', 'Romance', 'Thriller']",en,17.0997,569651467,125,5.879,12170,theatrical,,,,,,Before COVID,13.241286675,1,2,1,1,1
0,0,"['Science Fiction', 'Comedy', 'Horror']",en,3.8937,70958,92,6.101,588,unknown,,,,,,Before COVID,,0,2,1,1,1
0,8000000,"['Crime', 'Thriller']",en,2.4342,487420,118,5.043,288,theatrical,0.261,4.6932,7.31224,3.9,12891.0,Before COVID,-0.9390725,0,2,2,2,2
0,37000000,"['Drama', 'Comedy', 'Romance']",en,2.9483,26250020,105,5.5,2111,theatrical,,,,,,Before COVID,-0.29054,0,2,1,1,2
0,2000000,"['Western', 'Drama', 'Thriller', 'Adventure', 'Romance']",en,4.6963,1617522,84,6.7,1021,streaming,,,,,,Before COVID,-0.191239,0,2,2,2,2
0,19000000,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",en,6.2688,140705322,89,5.751,7552,theatrical,1.6202,6.9266,4.8088,6.1,223553.0,Before COVID,6.405543263157894,0,2,1,2,1
0,15000000,"['Drama', 'War']",en,2.9189,16322067,113,6.452,1493,theatrical,,,,,,Before COVID,0.0881378,0,2,2,2,1
0,0,"['Thriller', 'Horror']",en,2.4127,489792,91,4.7,197,theatrical,,,,,,Before COVID,,0,2,1,1,1
0,350000,['Drama'],Other,1.1915,13000,134,7.1,11,theatrical,,,,,,Before COVID,-0.9628571428571429,0,2,2,1,2
0,12000000,"['Science Fiction', 'Thriller']",en,2.6714,33200000,106,6.786,2744,theatrical,,,,,,Before COVID,1.7666666666666666,0,2,1,1,1
0,2000000,['Comedy'],Other,0.804,39195565,96,7.7,519,theatrical,1.1781,0.465,0.48246,6.7,3768.0,Before COVID,18.5977825,1,2,1,1,1
0,99000000,"['Comedy', 'Animation', 'Family']",en,4.9916,246233113,88,6.9,1738,theatrical,,,,,,Before COVID,1.4872031616161616,0,2,1,1,1
0,40000000,"['Drama', 'Science Fiction', 'Thriller']",en,3.3574,34200000,110,5.949,2207,theatrical,,,,,,Before COVID,-0.145,0,2,2,2,1
0,0,"['Drama', 'Music']",Other,0.6971,749315,97,6.6,56,theatrical,,,,,,Before COVID,,0,2,1,1,1
0,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",en,6.3196,368871007,94,6.791,4128,theatrical,,,,,,Before COVID,1.7323778296296297,0,1,1,1,1
0,74000000,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",en,7.3145,325186032,93,6.092,2453,theatrical,,,,,,Before COVID,3.3944058378378377,1,2,1,1,1
0,0,"['Drama', 'Family']",en,2.9675,45710059,128,7.468,896,theatrical,,,,,,Before COVID,,0,2,1,1,2
0,34000000,"['Drama', 'Romance']",en,3.5139,63013281,128,7.6,3258,theatrical,,,,,,Before COVID,0.853331794117647,0,2,1,1,1
0,0,"['Drama', 'Action', 'Crime', 'Thriller', 'Mystery']",en,2.0041,2633527,95,6.0,648,theatrical,,,,,,Before COVID,,0,2,2,2,2
0,8500000,"['Action', 'Adventure', 'Thriller']",en,6.9115,7500000,90,5.5,1195,theatrical,,,,,,Before COVID,-0.11764705882352941,0,2,2,2,2
0,8000000,"['Adventure', 'Comedy', 'Drama']",en,3.3996,37461274,104,6.1,747,theatrical,,,,,,Before COVID,3.68265925,0,2,1,1,1
0,20000000,"['Action', 'Adventure', 'Animation', 'Family']",en,4.9117,8800000,94,5.8,642,theatrical,0.3154,1.8258,2.21776,5.5,12347.0,Before COVID,-0.56,0,2,1,2,1
0,3000000,"['Thriller', 'Horror']",en,0.744,3387000,84,5.3,511,theatrical,,,,,,Before COVID,0.129,0,2,2,2,1
0,26000000,"['Science Fiction', 'Action', 'Thriller']",en,2.9507,31807156,117,6.413,3214,theatrical,,,,,,Before COVID,0.22335215384615384,0,2,1,1,1
0,65000000,"['Action', 'Comedy', 'Crime']",en,7.249,235666219,120,6.833,6236,theatrical,,,,,,Before COVID,2.6256341384615385,0,2,1,1,2
0,35000000,['Comedy'],en,5.253,14431253,91,5.5,838,theatrical,,,,,,Before COVID,-0.5876784857142857,0,2,1,2,1
0,4000000,['Thriller'],en,4.4119,52425855,91,4.9,2091,theatrical,,,,,,Before COVID,12.10646375,0,2,1,1,1
0,20000000,"['Horror', 'Mystery', 'Thriller']",en,3.9622,17671101,106,5.581,1847,theatrical,,,,,,Before COVID,-0.11644495,0,2,1,2,1
0,5000000,"['Horror', 'Thriller']",en,1.0216,9371036,87,5.4,584,theatrical,0.8072,4.1752,2.59026,5.3,14794.0,Before COVID,0.8742072,0,2,1,1,1
0,170000000,"['Adventure', 'Family', 'Fantasy']",en,9.4239,299457024,113,6.561,6636,theatrical,1.7622,2.9241,6.686780000000001,6.2,132144.0,Before COVID,0.761511905882353,1,2,2,2,1
0,50000000,"['Action', 'Crime', 'Thriller']",en,5.6994,71561644,114,6.427,2893,theatrical,,,,,,Before COVID,0.43123288,1,2,1,2,1
0,35000000,['Horror'],en,2.8146,95682614,93,5.2,2348,theatrical,,,,,,Before COVID,1.7337889714285715,1,2,1,1,1
0,36000000,['Comedy'],en,8.8765,64800000,93,5.2,974,theatrical,,,,,,Before COVID,0.8,1,2,1,1,1
0,3300000,"['Horror', 'Science Fiction', 'Thriller']",en,1.3449,64110728,83,5.301,1481,theatrical,,,,,,Before COVID,18.427493333333334,0,2,1,1,1
0,14000000,"['Drama', 'History']",en,3.007,16002420,106,7.2,1652,theatrical,,,,,,Before COVID,0.14303,0,2,1,2,1
0,19000000,"['Thriller', 'Drama']",en,1.5622,5600000,115,6.7,1016,theatrical,,,,,,Before COVID,-0.7052631578947368,0,2,1,1,2
0,18000000,"['Adventure', 'Drama', 'Science Fiction']",en,4.9587,7112282,112,6.3,1977,unknown,0.8556,4.3069,4.58666,6.6,86112.0,Before COVID,-0.6048732222222222,0,2,1,2,1
0,0,"['Crime', 'Drama', 'History']",en,2.18,5261595,99,6.256,2037,theatrical,,,,,,Before COVID,,0,2,1,1,2
0,40500000,"['Fantasy', 'Adventure', 'Family']",en,5.1834,2200000,94,7.0,700,theatrical,0.952,6.0215,3.75572,5.2,6946.0,After COVID,-0.945679012345679,0,2,2,2,1
0,10000000,"['Drama', 'Thriller', 'Mystery']",en,0.7954,111107,111,5.3,271,unknown,,,,,,Before COVID,-0.9888893,0,2,2,2,1
0,0,"['Comedy', 'Romance']",en,3.5603,3118433,93,5.9,697,theatrical,,,,,,Before COVID,,0,2,1,2,1
0,0,['Drama'],en,3.4476,27312,107,7.3,1126,unknown,0.9117,0.6698,1.33406,7.1,22682.0,Before COVID,,0,2,1,1,2
0,12000000,['Drama'],en,1.761,554953,118,5.4,227,streaming,,,,,,Before COVID,-0.9537539166666666,0,2,1,2,1
0,0,"['Drama', 'Comedy']",en,1.9232,55506,113,5.594,69,unknown,,,,,,Before COVID,,0,2,1,1,1
0,178000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",en,7.6052,543934787,144,6.518,13450,theatrical,1.193,4.5951,5.677339999999999,6.8,486177.0,Before COVID,2.0558134101123597,1,2,1,1,2
